id,brand_name,items_Decribtion,ratings,prices,Category
49,Intel,"Intel Pentium Gold G5420 Coffee Lake Dual-Core, 4-Thread, 3.8 GHz LGA 1151 (300 Series) 54W BX80684G5420 Desktop Processor Intel UHD Graphics 610","(1,158)",562.71,cpu
50,AMD,Intel Core i5-8600K Coffee Lake 6-Core 3.6 GHz (4.3 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I58600K Desktop Processor Intel UHD Graphics 630,(628),"3,015.99",cpu
51,Intel,Intel Corp. Xeon Gold 6150 Tray Processor (CD8067303328000),(121),"1,278.57",cpu
52,AMD,AMD EPYC 7371 16-Core 32-Thread SP3 Server Processor PS7371BDVGPAF - OEM/TRAY,(121),"1,054.83",cpu
53,AMD,Intel Xeon Gold 6234 8Core 3.30GHz Processor LGA-3647 OEM/4 Pack CD8069504283304,(121),829.06,cpu
54,AMD,AMD RYZEN 7 1700X 8-Core 3.4 GHz (3.8 GHz Turbo) Socket AM4 95W YD170XBCAEWOF Desktop Processor,(2),757.51,cpu
55,Intel,Intel Pentium G4500 Skylake Dual-Core 3.5 GHz LGA 1151 47W BX80662G4500 Desktop Processor Intel HD Graphics 530,(42),"2,529.59",cpu
56,Intel,Intel Core i7-7700 Kaby Lake Quad-Core 3.6 GHz LGA 1151 65W BX80677I77700 Desktop Processor,(26),"1,613.39",cpu
57,Intel,Intel Core i3-7100 Kaby Lake Dual-Core 3.9 GHz LGA 1151 51W BX80677I37100 Desktop Processor Intel HD Graphics 630,(198),675.30,cpu
58,Intel,AMD RYZEN 7 3700X 8-Core 3.6 GHz (4.4 GHz Max Boost) Socket AM4 65W 100-100000071 Desktop Processor - OEM,(619),"1,237.72",cpu
59,Intel,Intel Core i7-4790K Devil's Canyon Quad-Core 4.0 GHz LGA 1150 88W BX80646I74790K Desktop Processor Intel HD Graphics 4600,(694),"1,829.72",cpu
60,Intel,AMD RYZEN 5 1600X 6-Core 3.6 GHz (4.0 GHz Turbo) Socket AM4 95W YD160XBCAEWOF Desktop Processor,(16),"7,164.12",cpu
61,Intel,AMD RYZEN 5 1500X 4-Core 3.5 GHz (3.7 GHz Turbo) Socket AM4 65W YD150XBBAEBOX Desktop Processor,(71),"5,202.05",cpu
62,Intel,AMD RYZEN 5 1400 4-Core 3.2 GHz (3.4 GHz Turbo) Socket AM4 65W YD1400BBAEBOX Desktop Processor,(16),"8,577.40",cpu
63,AMD,Intel Core i7-6850K Broadwell-E 6-Core 3.6 GHz LGA 2011-V3 140W BX80671I76850K Desktop Processor,(1),389.99,cpu
64,Intel,Intel Core i7-9700 Coffee Lake 8-Core 3.0 GHz (4.7 GHz Turbo) LGA 1151 (300 Series) 65W BX80684I79700 Desktop Processor Intel UHD Graphics 630,(15),"1,986.42",cpu
